ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
3209,C,Ship,5,1,$149,2,low,M,9,5435,TRUE
3210,F,Ship,5,2,$173,2,low,M,7,5836,TRUE
3211,D,Ship,3,2,$181,2,low,F,6,5410,TRUE
3212,F,Ship,3,5,$251,2,low,M,4,4015,TRUE
3213,A,Ship,4,5,$243,3,low,F,2,4909,TRUE
3214,B,Ship,3,4,$210,3,low,M,10,4398,FALSE
3215,C,Ship,5,2,$145,4,medium,F,9,4028,TRUE
3216,F,Ship,3,1,$196,3,low,M,10,4546,TRUE
3217,D,Ship,3,4,$154,2,medium,M,5,5735,FALSE
3218,F,Ship,4,1,$164,4,low,M,6,4432,FALSE
3219,A,Ship,4,2,$210,3,medium,F,1,4379,FALSE
3220,B,Ship,5,3,$212,2,low,F,7,5219,TRUE
3221,C,Ship,3,1,$263,2,medium,M,9,4868,FALSE
3222,F,Ship,3,4,$155,2,low,M,3,5481,FALSE
3223,D,Ship,3,4,$223,2,low,M,9,4211,TRUE
3224,F,Ship,5,4,$269,3,low,F,3,4489,TRUE
3225,A,Ship,3,4,$117,3,low,F,6,4046,TRUE
3226,B,Ship,4,4,$151,2,low,M,3,4105,FALSE
3227,C,Ship,4,2,$271,3,medium,M,4,4743,FALSE
3228,F,Ship,3,3,$205,3,low,M,10,5714,TRUE
3229,D,Ship,5,3,$210,5,medium,M,9,5431,FALSE
3230,F,Ship,4,1,$133,2,medium,M,8,4277,TRUE
3231,A,Ship,5,2,$215,6,medium,F,5,5195,FALSE
3232,B,Ship,2,3,$140,3,low,F,2,4691,TRUE
3233,C,Ship,3,3,$255,2,low,M,8,5955,FALSE
3234,F,Ship,2,5,$159,3,low,M,5,4190,TRUE
3235,D,Ship,5,3,$169,2,low,M,8,5352,FALSE
3236,F,Ship,5,4,$182,2,medium,M,2,4554,FALSE
3237,A,Ship,2,5,$231,2,low,F,10,4406,FALSE
3238,B,Ship,3,4,$177,3,low,F,6,4445,TRUE
3239,C,Ship,4,3,$250,3,medium,F,3,5055,FALSE
3240,F,Ship,4,2,$145,3,medium,F,4,5122,FALSE
3241,D,Ship,2,5,$117,3,high,F,2,4268,FALSE
3242,F,Ship,3,4,$170,3,low,M,5,4716,FALSE
3243,A,Ship,4,4,$173,3,high,F,9,5382,FALSE
3244,B,Ship,4,2,$232,3,medium,M,8,4658,FALSE
3245,C,Ship,3,2,$231,4,medium,M,4,5510,TRUE
3246,F,Ship,3,4,$136,3,medium,M,2,4524,FALSE
3247,D,Ship,4,1,$189,3,medium,M,5,4496,FALSE
3248,F,Ship,5,4,$222,3,low,M,7,5340,TRUE
3249,A,Ship,4,3,$148,3,high,F,7,5034,FALSE
3250,B,Ship,5,2,$265,2,medium,F,7,5464,FALSE
3251,C,Ship,4,1,$181,2,low,F,3,5877,TRUE
3252,F,Ship,6,5,$189,2,high,M,4,5898,FALSE
3253,D,Ship,3,2,$160,3,medium,F,6,4808,FALSE
3254,F,Ship,3,3,$235,3,medium,F,10,4186,TRUE
3255,A,Ship,3,4,$100,3,medium,M,4,4191,TRUE
3256,B,Ship,5,5,$135,4,medium,F,7,5765,FALSE
3257,C,Ship,5,2,$137,3,low,M,6,4883,TRUE
3258,F,Ship,4,2,$222,3,high,F,9,5337,TRUE
3259,D,Ship,5,1,$246,3,medium,F,10,4078,FALSE
3260,F,Ship,3,3,$202,3,medium,F,8,5486,FALSE
3261,A,Ship,4,5,$273,3,low,F,1,5043,FALSE
3262,B,Road,5,1,$248,2,low,F,9,5881,FALSE
3263,C,Road,4,4,$199,4,medium,F,5,4194,TRUE
3264,F,Road,4,3,$209,3,medium,M,7,4104,FALSE
3265,D,Road,4,5,$216,2,low,M,2,4905,TRUE
3266,F,Road,4,2,$227,3,low,M,2,4318,FALSE
3267,A,Road,3,1,$216,4,medium,F,4,4416,TRUE
3268,B,Road,2,3,$242,2,medium,F,1,5892,FALSE
3269,C,Road,5,4,$217,3,medium,F,8,4949,FALSE
3270,F,Road,2,2,$160,3,medium,F,9,4613,TRUE
3271,D,Road,5,3,$141,2,medium,M,4,5257,TRUE
3272,F,Road,5,4,$263,2,medium,F,5,4595,TRUE
3273,A,Road,5,4,$171,4,low,M,7,5359,FALSE
3274,B,Road,3,5,$195,2,low,F,4,4864,TRUE
3275,C,Road,3,5,$237,3,low,M,4,5561,FALSE
3276,F,Road,2,5,$241,4,low,F,4,5693,FALSE
3277,D,Road,3,4,$134,3,medium,F,9,4230,FALSE
3278,F,Road,5,5,$156,3,low,F,5,5398,FALSE
3279,A,Road,3,4,$211,2,low,M,6,6000,TRUE
3280,B,Road,3,2,$243,2,low,F,5,4769,TRUE
3281,C,Road,4,3,$196,2,medium,F,7,4116,FALSE
3282,F,Road,3,3,$242,2,medium,F,7,4960,TRUE
3283,D,Road,3,4,$175,3,low,F,3,4449,TRUE
3284,F,Flight,2,2,$155,3,low,M,1,5154,TRUE
3285,A,Flight,4,1,$200,2,low,F,9,4808,FALSE
3286,B,Flight,3,3,$191,3,low,M,4,4586,TRUE
3287,C,Flight,4,5,$221,3,low,F,6,5895,TRUE
3288,F,Flight,3,1,$135,3,low,M,9,4511,TRUE
3289,D,Flight,3,2,$152,4,medium,F,7,5943,FALSE
3290,F,Flight,2,5,$172,2,low,M,7,4649,TRUE
3291,A,Flight,5,2,$253,2,high,F,2,5643,FALSE
3292,B,Flight,5,1,$270,2,high,M,10,5360,TRUE
3293,C,Flight,2,4,$139,4,high,M,3,5041,TRUE
3294,F,Flight,5,2,$257,4,medium,M,9,5088,TRUE
3295,D,Flight,4,1,$155,3,low,F,5,4283,FALSE
3296,F,Flight,3,5,$125,2,low,M,5,4933,FALSE
3297,A,Flight,5,4,$233,2,low,F,7,4597,FALSE
3298,B,Flight,3,3,$205,2,medium,M,6,4989,FALSE
3299,C,Flight,5,4,$243,3,medium,M,4,4420,FALSE
3300,F,Flight,4,4,$208,3,low,F,10,4919,TRUE
3301,D,Flight,3,1,$230,3,medium,F,6,4392,TRUE
3302,F,Flight,4,5,$205,3,medium,M,5,4949,FALSE
3303,A,Flight,3,4,$170,2,low,F,2,5664,TRUE
3304,B,Flight,4,2,$222,2,medium,M,5,4268,TRUE
3305,C,Flight,5,4,$186,2,low,M,3,4213,TRUE
3306,F,Ship,5,1,$208,2,low,F,8,5218,TRUE
3307,D,Ship,4,3,$223,3,medium,F,9,5897,TRUE
3308,F,Ship,5,3,$154,2,medium,M,8,4006,TRUE
3309,A,Ship,5,3,$235,4,medium,F,10,4011,TRUE
3310,B,Ship,4,3,$271,3,medium,M,1,4137,TRUE
3311,C,Ship,4,5,$250,3,low,F,2,5206,TRUE
3312,F,Ship,4,2,$206,2,medium,M,4,5159,TRUE
3313,D,Ship,3,1,$153,3,low,M,10,5121,FALSE
3314,F,Ship,4,4,$212,2,medium,F,6,4117,FALSE
3315,A,Ship,6,4,$168,2,high,M,6,5686,TRUE
3316,B,Ship,3,1,$171,2,low,M,10,5379,FALSE
3317,C,Ship,3,5,$132,2,low,M,10,4462,FALSE
3318,F,Ship,5,3,$141,3,low,M,9,4857,TRUE
3319,D,Ship,3,2,$254,2,low,M,1,4334,TRUE
3320,F,Ship,4,4,$159,2,medium,F,6,5221,TRUE
3321,A,Ship,2,4,$194,2,low,F,4,4803,FALSE
3322,B,Ship,4,3,$178,6,low,M,6,4203,TRUE
3323,C,Ship,3,4,$151,3,low,M,2,5712,FALSE
3324,F,Ship,5,1,$244,2,low,F,5,4125,FALSE
3325,D,Ship,3,2,$237,3,low,M,8,5287,FALSE
3326,F,Ship,3,1,$241,3,medium,M,9,5184,TRUE
3327,A,Ship,4,2,$156,3,low,M,3,5923,TRUE
3328,B,Ship,4,3,$243,3,medium,M,1,5021,TRUE
3329,C,Ship,5,5,$219,2,medium,M,4,4289,TRUE
3330,F,Ship,4,5,$168,2,high,M,2,5776,TRUE
3331,D,Ship,6,3,$224,6,high,M,8,5661,TRUE
3332,F,Ship,4,4,$216,2,medium,M,2,5840,FALSE
3333,A,Ship,3,1,$187,5,low,F,6,4698,TRUE
3334,B,Ship,5,3,$204,3,high,F,1,4037,FALSE
3335,C,Ship,6,5,$266,5,low,M,10,4140,TRUE
3336,F,Ship,3,4,$179,2,low,F,2,4931,FALSE
3337,D,Ship,3,4,$184,3,low,M,10,4776,TRUE
3338,F,Ship,6,2,$204,4,medium,F,2,4431,TRUE
3339,A,Ship,3,4,$255,2,medium,F,7,4332,FALSE
3340,B,Ship,4,1,$272,2,medium,F,5,5252,TRUE
3341,C,Ship,4,3,$186,2,low,M,7,4947,FALSE
3342,F,Ship,5,4,$147,4,medium,M,6,4369,TRUE
3343,D,Ship,3,4,$145,3,medium,M,4,5361,FALSE
3344,F,Ship,5,1,$255,3,medium,F,6,5715,TRUE
3345,A,Ship,3,4,$133,2,low,F,7,4663,TRUE
3346,B,Ship,4,1,$155,4,low,F,1,4985,TRUE
3347,C,Ship,4,5,$151,4,medium,M,10,4796,TRUE
3348,F,Ship,4,2,$270,2,high,F,3,4914,FALSE
3349,D,Ship,3,1,$234,4,high,M,6,4942,TRUE
3350,F,Ship,3,5,$186,2,medium,M,4,4352,TRUE
3351,A,Ship,4,5,$157,2,medium,M,6,5937,TRUE
3352,B,Ship,4,4,$268,3,low,M,7,5947,TRUE
3353,C,Ship,4,3,$244,2,low,M,10,4486,FALSE
3354,F,Ship,4,5,$190,3,low,M,2,4554,TRUE
3355,D,Ship,4,4,$161,4,low,M,5,5038,TRUE
3356,F,Ship,2,4,$162,3,high,F,2,5893,FALSE
3357,A,Ship,4,3,$163,8,medium,F,6,5739,TRUE
3358,B,Ship,3,3,$211,6,low,M,5,5777,FALSE
3359,C,Ship,3,4,$205,8,medium,M,1,4977,FALSE
3360,F,Ship,3,5,$150,3,medium,F,4,4442,FALSE
3361,D,Ship,2,5,$209,5,medium,F,10,4623,FALSE
3362,F,Ship,5,2,$250,3,medium,F,6,5298,TRUE
3363,A,Ship,3,2,$206,3,high,F,1,4431,FALSE
3364,B,Ship,5,2,$244,3,low,M,2,4198,TRUE
3365,C,Ship,2,1,$180,3,low,M,2,4615,FALSE
3366,F,Ship,4,4,$256,3,medium,M,1,5784,FALSE
3367,D,Ship,5,4,$273,3,medium,F,2,5672,FALSE
3368,F,Ship,4,1,$178,8,medium,F,6,4872,TRUE
3369,A,Ship,4,2,$296,2,medium,F,2,1233,TRUE
3370,B,Ship,3,3,$249,5,medium,F,9,1752,TRUE
3371,C,Ship,4,5,$151,4,medium,M,3,5470,TRUE
3372,F,Ship,4,3,$270,2,high,F,5,5346,TRUE
3373,D,Ship,3,2,$234,4,high,F,7,4568,FALSE
3374,F,Ship,3,4,$186,2,medium,F,9,5841,TRUE
3375,A,Ship,4,1,$157,2,medium,M,3,5801,TRUE
3376,B,Ship,4,2,$268,3,low,F,3,5488,FALSE
3377,C,Ship,4,1,$244,2,low,F,3,4644,FALSE
3378,F,Ship,4,4,$190,3,low,M,2,4800,TRUE
3379,D,Ship,4,2,$161,4,low,F,10,5322,TRUE
3380,F,Ship,2,2,$162,3,high,M,10,4489,FALSE
3381,A,Ship,4,1,$163,8,medium,F,9,5489,FALSE
3382,B,Ship,3,2,$211,6,low,F,2,4417,TRUE
3383,C,Ship,3,4,$205,8,medium,F,5,4869,FALSE
3384,F,Ship,3,3,$150,3,medium,M,4,5536,TRUE
3385,D,Ship,2,5,$209,5,medium,F,9,5565,TRUE
3386,F,Ship,5,3,$250,3,medium,M,4,4343,TRUE
3387,A,Ship,3,1,$206,3,high,F,8,4763,FALSE
3388,B,Ship,5,5,$244,3,low,M,9,5695,TRUE
3389,C,Ship,2,2,$180,3,low,M,2,5033,FALSE
3390,F,Ship,4,5,$256,3,medium,M,10,4504,FALSE
3391,D,Ship,5,4,$273,3,medium,M,6,4044,FALSE
3392,F,Ship,4,2,$178,8,medium,M,5,4120,FALSE
3393,A,Ship,4,3,$296,2,medium,F,9,1523,FALSE
3394,B,Ship,4,2,$275,6,medium,M,2,1712,FALSE
3395,C,Ship,5,5,$270,3,low,M,2,4351,FALSE
3396,F,Ship,6,5,$224,4,medium,M,6,4616,TRUE
3397,D,Ship,2,4,$172,5,low,M,4,4668,TRUE
3398,F,Ship,4,4,$176,3,low,F,1,4774,TRUE
3399,A,Road,6,2,$240,4,low,M,9,4099,TRUE
3400,B,Road,3,4,$213,3,low,F,5,4535,FALSE
3401,C,Road,4,2,$197,3,low,F,2,5707,TRUE
3402,F,Road,4,5,$167,2,low,F,7,4289,FALSE
3403,D,Road,5,1,$180,3,low,F,2,5013,FALSE
3404,F,Road,3,1,$119,2,low,F,10,4146,FALSE
3405,A,Road,5,5,$232,4,low,M,3,5447,TRUE
3406,B,Road,3,5,$139,2,medium,M,7,5536,TRUE
3407,C,Road,3,2,$272,3,low,M,2,4459,FALSE
3408,F,Road,3,2,$253,3,low,F,7,4915,TRUE
3409,D,Road,3,2,$188,3,low,M,4,5376,TRUE
3410,F,Road,3,4,$202,3,medium,M,5,5169,TRUE
3411,A,Road,3,1,$134,3,low,F,7,5802,FALSE
3412,B,Road,3,5,$110,3,medium,M,3,4252,FALSE
3413,C,Road,3,2,$172,2,low,F,9,4532,FALSE
3414,F,Road,3,1,$188,3,low,M,3,4222,TRUE
3415,D,Road,3,1,$258,4,medium,F,6,5365,FALSE
3416,F,Road,5,3,$234,3,low,M,10,5673,TRUE
3417,A,Road,3,4,$148,4,medium,F,9,5301,TRUE
3418,B,Road,5,3,$194,4,low,F,2,5396,TRUE
3419,C,Road,4,4,$266,3,medium,F,2,5413,FALSE
3420,F,Road,5,5,$158,3,medium,M,7,5559,FALSE
3421,D,Flight,5,1,$228,2,high,M,6,4984,FALSE
3422,F,Flight,4,5,$159,2,low,M,1,5671,TRUE
3423,A,Flight,3,4,$255,4,low,M,10,4107,TRUE
3424,B,Flight,3,4,$213,3,low,F,4,5481,FALSE
3425,C,Flight,3,4,$148,2,low,F,5,4693,FALSE
3426,F,Flight,4,5,$219,3,medium,M,6,5957,FALSE
3427,D,Flight,3,5,$168,5,medium,M,9,5731,FALSE
3428,F,Flight,4,3,$148,5,medium,F,6,4802,TRUE
3429,A,Flight,3,4,$149,3,low,F,5,5467,TRUE
3430,B,Flight,3,5,$245,6,high,M,9,4793,TRUE
3431,C,Flight,3,1,$200,2,medium,M,10,5178,FALSE
3432,F,Flight,3,1,$228,3,medium,M,9,5530,TRUE
3433,D,Flight,4,1,$175,4,low,M,2,4053,TRUE
3434,F,Flight,3,3,$201,3,low,M,9,5895,FALSE
3435,A,Flight,4,3,$267,4,low,M,7,5140,TRUE
3436,B,Flight,3,4,$217,2,medium,F,9,5450,TRUE
3437,C,Flight,2,3,$160,2,high,M,3,4409,TRUE
3438,F,Flight,4,4,$264,3,low,F,2,4279,FALSE
3439,D,Flight,3,1,$179,3,high,M,5,5898,FALSE
3440,F,Flight,4,5,$259,3,medium,M,10,4921,FALSE
3441,A,Flight,4,5,$178,2,high,M,5,5403,TRUE
3442,B,Flight,3,2,$242,5,medium,M,6,4694,TRUE
3443,C,Ship,4,4,$235,2,low,M,4,5671,TRUE
3444,F,Ship,4,1,$247,2,medium,F,7,5098,TRUE
3445,D,Ship,2,2,$240,5,low,M,7,4138,FALSE
3446,F,Ship,3,1,$252,2,low,M,4,5559,TRUE
3447,A,Ship,5,4,$237,2,low,M,8,5600,FALSE
3448,B,Ship,4,2,$161,3,low,F,4,5947,TRUE
3449,C,Ship,2,3,$144,4,low,F,10,4075,TRUE
3450,F,Ship,4,1,$163,4,medium,M,2,5432,FALSE
3451,D,Ship,4,3,$246,3,low,F,5,5118,TRUE
3452,F,Ship,3,2,$213,3,medium,M,10,5993,FALSE
3453,A,Ship,5,1,$123,2,low,F,9,5497,TRUE
3454,B,Ship,4,3,$192,3,low,M,1,4045,FALSE
3455,C,Ship,4,4,$149,3,low,F,8,5658,FALSE
3456,F,Ship,5,3,$206,4,high,F,1,4583,TRUE
3457,D,Ship,6,4,$243,6,low,M,8,5218,TRUE
3458,F,Ship,4,5,$136,3,low,F,1,4585,FALSE
3459,A,Ship,4,1,$170,2,medium,F,5,5182,TRUE
3460,B,Ship,2,4,$180,2,low,F,8,4321,FALSE
3461,C,Ship,3,5,$220,2,low,F,1,5663,TRUE
3462,F,Ship,3,3,$144,2,low,M,6,5994,FALSE
3463,D,Ship,3,4,$271,2,medium,M,6,4218,TRUE
3464,F,Ship,4,4,$186,2,medium,F,9,4887,FALSE
3465,A,Ship,2,5,$247,4,medium,M,4,5255,FALSE
3466,B,Ship,4,4,$202,3,medium,M,2,4299,FALSE
3467,C,Ship,4,3,$143,3,medium,F,3,5062,FALSE
3468,F,Ship,3,1,$180,3,low,F,10,5633,TRUE
3469,D,Ship,4,5,$221,3,medium,F,3,4430,FALSE
3470,F,Ship,4,3,$173,3,low,F,7,4810,FALSE
3471,A,Ship,2,5,$107,3,medium,M,2,4853,TRUE
3472,B,Ship,3,4,$259,2,medium,F,3,4154,FALSE
3473,C,Ship,5,4,$134,3,medium,M,4,4908,TRUE
3474,F,Ship,3,2,$204,4,low,M,4,4745,TRUE
3475,D,Ship,2,2,$161,5,medium,M,3,4138,TRUE
3476,F,Ship,6,4,$100,5,low,F,7,5668,FALSE
3477,A,Ship,5,2,$260,4,medium,F,3,5890,TRUE
3478,B,Ship,5,2,$196,3,low,F,4,4271,TRUE
3479,C,Ship,5,2,$260,3,low,M,1,4799,FALSE
3480,F,Ship,3,1,$193,4,low,M,5,4700,TRUE
3481,D,Ship,4,1,$258,3,medium,M,7,4159,TRUE
3482,F,Ship,4,3,$254,4,low,M,9,4492,TRUE
3483,A,Ship,3,5,$216,4,low,F,3,4934,TRUE
3484,B,Ship,4,1,$273,3,low,F,5,5323,TRUE
3485,C,Ship,4,4,$223,4,low,M,1,4219,TRUE
3486,F,Ship,4,1,$182,2,medium,F,10,5638,TRUE
3487,D,Ship,3,4,$201,3,low,F,6,5722,FALSE
3488,F,Ship,4,3,$249,3,medium,F,6,5657,FALSE
3489,A,Ship,5,4,$152,3,low,M,1,5314,FALSE
3490,B,Ship,3,1,$244,4,medium,M,6,4734,FALSE
3491,C,Ship,3,1,$256,4,medium,F,3,4398,FALSE
3492,F,Ship,4,2,$223,3,medium,M,3,5121,TRUE
3493,D,Ship,3,2,$185,2,high,F,3,4816,FALSE
3494,F,Ship,3,1,$166,3,medium,M,9,4410,TRUE
3495,A,Ship,3,4,$113,3,medium,M,1,5765,FALSE
3496,B,Ship,4,1,$134,2,medium,F,7,5967,TRUE
3497,C,Ship,4,3,$228,2,high,F,4,4719,FALSE
3498,F,Ship,3,4,$204,2,low,F,10,5844,FALSE
3499,D,Ship,3,1,$152,2,medium,F,2,4136,TRUE
3500,F,Ship,3,2,$195,2,medium,M,9,5779,FALSE
3501,A,Ship,4,2,$192,6,high,F,3,5173,TRUE
3502,B,Ship,4,2,$247,3,medium,M,8,4977,TRUE
3503,C,Ship,3,1,$135,2,medium,M,2,4163,TRUE
3504,F,Ship,4,2,$209,2,medium,F,1,5337,TRUE
3505,D,Ship,2,4,$173,2,low,M,1,4721,TRUE
3506,F,Ship,4,4,$222,2,low,M,5,5660,TRUE
3507,A,Ship,4,3,$192,3,medium,F,10,4086,FALSE
3508,B,Ship,3,5,$206,3,medium,F,6,5618,TRUE
3509,C,Ship,3,3,$275,4,medium,M,6,4687,FALSE
3510,F,Ship,2,3,$192,3,medium,F,8,5787,FALSE
3511,D,Ship,6,3,$121,3,medium,F,10,5208,TRUE
3512,F,Ship,4,2,$177,3,low,M,8,4904,TRUE
3513,A,Ship,3,1,$243,3,low,F,2,4989,TRUE
3514,B,Ship,3,2,$262,4,low,M,1,4745,FALSE
3515,C,Ship,2,4,$189,3,low,M,3,5897,FALSE
3516,F,Ship,5,4,$178,2,low,F,4,5307,TRUE
3517,D,Ship,3,4,$232,3,medium,F,1,4228,FALSE
3518,F,Ship,4,5,$254,3,low,M,1,4377,FALSE
3519,A,Ship,3,1,$148,2,medium,M,5,4082,FALSE
3520,B,Ship,4,3,$253,4,high,M,4,4868,FALSE
3521,C,Ship,4,5,$223,3,medium,F,9,5279,FALSE
3522,F,Ship,2,2,$190,2,medium,M,7,4075,TRUE
3523,D,Ship,5,3,$181,4,low,F,2,5332,TRUE
3524,F,Ship,2,3,$226,3,low,M,8,5119,TRUE
3525,A,Ship,3,4,$182,2,medium,M,8,4883,TRUE
3526,B,Ship,2,4,$191,3,medium,F,6,4119,TRUE
3527,C,Ship,3,1,$223,4,low,M,1,4195,TRUE
3528,F,Ship,4,5,$274,3,medium,M,4,4521,TRUE
3529,D,Ship,4,4,$218,2,low,M,9,5637,TRUE
3530,F,Ship,3,5,$197,3,low,M,3,5658,TRUE
3531,A,Ship,4,2,$137,3,low,F,6,5271,TRUE
3532,B,Ship,2,1,$163,3,low,F,3,5873,FALSE
3533,C,Ship,4,4,$218,4,low,M,6,4377,FALSE
3534,F,Ship,5,1,$245,3,low,M,6,4343,FALSE
3535,D,Ship,3,5,$181,2,medium,M,2,4089,TRUE
3536,F,Road,6,3,$222,5,high,F,2,4612,TRUE
3537,A,Road,4,5,$259,2,low,M,7,4390,FALSE
3538,B,Road,3,4,$157,3,medium,F,6,5398,FALSE
3539,C,Road,4,3,$137,3,medium,F,10,4820,FALSE
3540,F,Road,3,3,$242,3,low,F,8,4199,TRUE
3541,D,Road,4,5,$154,4,medium,M,7,4938,TRUE
3542,F,Road,3,2,$150,2,low,F,3,4174,TRUE
3543,A,Road,5,3,$174,3,medium,F,7,5510,FALSE
3544,B,Road,5,5,$265,3,high,F,3,5837,FALSE
3545,C,Road,3,4,$248,4,medium,M,8,4540,TRUE
3546,F,Road,4,3,$186,3,low,M,7,5156,FALSE
3547,D,Road,4,2,$152,3,medium,M,6,5764,FALSE
3548,F,Road,3,3,$163,3,medium,M,2,5791,FALSE
3549,A,Road,4,5,$168,4,medium,M,5,5735,FALSE
3550,B,Road,4,3,$102,3,medium,F,3,4845,FALSE
3551,C,Road,3,1,$169,2,medium,F,1,4783,FALSE
3552,F,Road,6,1,$163,4,high,M,3,4031,FALSE
3553,D,Road,2,1,$154,3,medium,F,4,5100,TRUE
3554,F,Road,3,5,$271,2,low,F,3,4878,TRUE
3555,A,Road,3,4,$182,3,medium,F,7,5409,FALSE
3556,B,Road,4,1,$173,3,low,F,5,5232,TRUE
3557,C,Road,5,2,$244,2,low,M,10,5696,TRUE
3558,F,Flight,4,5,$214,2,low,M,8,4512,TRUE
3559,D,Flight,4,4,$210,2,high,M,6,4076,TRUE
3560,F,Flight,5,3,$194,7,medium,F,10,5700,TRUE
3561,A,Flight,4,3,$185,10,high,F,7,4818,FALSE
3562,B,Flight,3,3,$121,2,low,M,10,5130,FALSE
3563,C,Flight,3,1,$203,3,medium,F,3,4137,TRUE
3564,F,Flight,2,5,$134,10,high,M,8,5472,TRUE
3565,D,Flight,3,3,$263,3,medium,F,9,5665,FALSE
3566,F,Flight,5,1,$279,8,low,F,6,5888,FALSE
3567,A,Flight,4,5,$222,3,low,F,5,5584,TRUE
3568,B,Flight,4,1,$233,2,low,M,9,4799,FALSE
3569,C,Flight,4,4,$271,3,low,M,3,4152,TRUE
3570,F,Flight,3,4,$118,4,low,M,6,5964,TRUE
3571,D,Flight,3,4,$183,2,low,M,5,4261,FALSE
3572,F,Flight,3,4,$217,3,low,F,5,4077,TRUE
3573,A,Flight,3,5,$245,10,medium,M,8,4909,FALSE
3574,B,Flight,3,4,$143,4,medium,M,5,5545,FALSE
3575,C,Flight,3,3,$149,3,medium,F,3,4189,TRUE
3576,F,Flight,4,5,$275,6,medium,M,10,1400,FALSE
3577,D,Flight,4,5,$168,4,medium,F,4,4776,FALSE
3578,F,Flight,4,1,$102,3,medium,M,3,4179,TRUE
3579,A,Flight,3,2,$169,2,medium,F,10,4038,FALSE
3580,B,Ship,6,5,$163,4,high,M,3,5118,FALSE
3581,C,Ship,2,3,$154,3,medium,M,3,4478,TRUE
3582,F,Ship,3,3,$271,2,low,F,8,4444,FALSE
3583,D,Ship,3,4,$182,3,medium,F,2,5281,FALSE
3584,F,Ship,4,5,$173,3,low,F,7,4410,TRUE
3585,A,Ship,5,5,$244,2,low,M,10,5794,TRUE
3586,B,Ship,4,5,$214,2,low,M,3,5546,TRUE
3587,C,Ship,4,2,$210,2,high,F,3,5876,FALSE
3588,F,Ship,5,1,$194,7,medium,M,8,4770,TRUE
3589,D,Ship,4,3,$185,10,high,M,1,4973,TRUE
3590,F,Ship,3,1,$121,2,low,M,2,5210,FALSE
3591,A,Ship,3,4,$203,3,medium,M,1,5543,TRUE
3592,B,Ship,2,3,$134,10,high,F,1,5632,TRUE
3593,C,Ship,3,2,$263,3,medium,M,8,5447,FALSE
3594,F,Ship,5,2,$279,8,low,M,5,4785,TRUE
3595,D,Ship,4,2,$222,3,low,F,3,5130,TRUE
3596,F,Ship,4,2,$233,2,low,F,5,4668,TRUE
3597,A,Ship,4,2,$271,3,low,M,9,4085,TRUE
3598,B,Ship,3,5,$118,4,low,F,10,5699,FALSE
3599,C,Ship,3,4,$183,2,low,M,3,4179,FALSE
3600,F,Ship,3,4,$217,3,low,F,5,4883,FALSE
3601,D,Ship,3,4,$245,10,medium,M,1,5363,TRUE
3602,F,Ship,3,2,$143,4,medium,F,7,4486,TRUE
3603,A,Ship,3,2,$149,3,medium,F,7,4049,FALSE
3604,B,Ship,4,2,$275,6,medium,M,9,1890,TRUE
3605,C,Ship,7,4,$282,5,low,M,5,1149,TRUE
3606,F,Ship,4,1,$276,2,medium,M,3,1966,TRUE
3607,D,Ship,4,5,$244,3,low,M,6,1360,FALSE
3608,F,Ship,5,5,$258,4,medium,M,7,5478,TRUE
3609,A,Ship,3,5,$257,3,low,M,5,5657,TRUE
3610,B,Ship,4,2,$195,5,medium,M,9,5178,FALSE
3611,C,Ship,2,2,$152,4,low,M,6,4606,FALSE
3612,F,Ship,2,1,$100,3,low,M,1,5776,FALSE
3613,D,Ship,4,1,$248,2,medium,M,4,5783,TRUE
3614,F,Ship,4,5,$274,2,low,F,2,4492,FALSE
3615,A,Ship,3,3,$203,2,low,M,1,5244,TRUE
3616,B,Ship,6,5,$194,5,low,F,8,4777,TRUE
3617,C,Ship,3,3,$142,3,low,F,7,4439,TRUE
3618,F,Ship,4,5,$208,5,low,F,7,5833,TRUE
3619,D,Ship,4,5,$237,2,medium,F,6,5954,TRUE
3620,F,Ship,3,1,$210,2,low,M,9,4580,TRUE
3621,A,Ship,3,3,$158,2,low,M,10,4061,FALSE
3622,B,Ship,3,3,$148,3,low,M,1,5700,TRUE
3623,C,Ship,3,2,$146,3,high,F,4,5846,FALSE
3624,F,Ship,3,3,$155,3,low,F,3,5768,TRUE
3625,D,Ship,2,5,$233,3,medium,M,10,5211,FALSE
3626,F,Ship,3,4,$165,2,medium,F,8,4280,FALSE
3627,A,Ship,4,3,$227,3,medium,F,10,5491,FALSE
3628,B,Ship,5,3,$197,4,low,F,6,4184,TRUE
3629,C,Ship,4,1,$134,3,medium,M,2,4983,TRUE
3630,F,Ship,5,2,$134,2,low,M,9,5045,TRUE
3631,D,Ship,4,5,$194,2,low,M,3,4724,FALSE
3632,F,Ship,3,4,$172,3,low,F,4,4337,TRUE
3633,A,Ship,3,1,$205,2,medium,F,2,5322,TRUE
3634,B,Ship,3,1,$191,5,low,F,9,5196,FALSE
3635,C,Ship,3,3,$225,4,low,M,10,5690,TRUE
3636,F,Ship,5,5,$152,6,medium,M,2,4915,FALSE
3637,D,Ship,5,3,$249,3,medium,M,10,5001,FALSE
3638,F,Ship,5,5,$136,3,low,M,4,4218,FALSE
